timestamp,AAPL,ADBE,ADI,AMAT,AMD,AMZN,AVGO,CRM,CSCO,GOOGL,IBM,INTC,INTU,KLAC,LRCX,META,MSFT,MU,NOW,NVDA,ORCL,PYPL,QCOM,TXN,WDAY
2019-01-02 05:00:00+00:00,157.92,224.57,85.92,33.48,18.83,1539.13,253.51,135.55,42.95,1054.68,115.21,47.08,194.47,90.91,138.3,135.68,101.12,32.75,178.32,136.22,45.22,85.75,57.4,94.45,159.74
2019-01-03 05:00:00+00:00,142.19,215.7,80.73,31.54,17.045,1500.28,230.96,130.4,41.07,1025.47,112.91,44.49,188.52,85.81,131.63,131.74,97.4,31.0,169.12,127.99,44.78,82.09,55.7,88.88,154.02
2019-01-04 05:00:00+00:00,148.26,226.19,82.69,33.7,19.0,1575.39,233.23,137.96,42.92,1078.07,117.32,47.22,196.0,91.3,138.06,137.95,101.93,32.7,179.23,136.19,46.71,86.27,56.6,92.9,163.35
2019-01-07 05:00:00+00:00,147.93,229.26,83.21,34.3,20.57,1629.51,237.98,142.22,43.21,1075.92,118.15,47.44,198.99,92.6,139.29,138.05,102.06,34.0,186.67,143.4,47.45,86.93,56.44,94.5,163.5
2019-01-08 05:00:00+00:00,150.75,232.68,85.24,32.91,20.75,1656.58,236.07,145.72,43.56,1085.37,119.83,47.74,203.76,91.13,136.93,142.55,102.8,33.74,188.11,139.83,47.88,88.7,55.95,94.38,166.95
2019-01-09 05:00:00+00:00,153.31,235.43,87.4,34.3,20.19,1659.42,246.28,145.99,43.32,1081.65,120.69,48.01,202.66,93.48,144.0,144.23,104.27,35.44,190.47,142.58,47.78,89.55,56.61,96.24,166.18
2019-01-10 05:00:00+00:00,153.8,237.77,88.61,34.76,19.74,1656.22,249.52,147.04,43.24,1078.83,121.79,48.56,206.06,93.71,144.57,144.2,103.6,35.91,190.0,145.23,47.82,90.7,56.8,97.72,167.96
2019-01-11 05:00:00+00:00,152.29,237.55,90.06,34.78,20.27,1640.56,250.57,147.55,43.49,1064.47,121.46,48.93,206.15,94.03,144.11,143.8,102.8,36.01,191.69,148.83,48.29,90.65,57.5,98.59,167.46
2019-01-14 05:00:00+00:00,150.0,234.56,87.5,33.86,20.23,1617.21,250.87,146.05,43.21,1051.51,120.39,48.35,205.15,92.43,140.43,145.39,102.05,34.67,188.4,150.44,48.18,90.43,57.3,96.33,163.33
2019-01-15 05:00:00+00:00,153.07,242.36,87.61,33.75,20.38,1674.56,256.49,149.19,44.02,1086.51,121.73,48.6,209.81,92.52,140.0,148.95,105.01,33.99,188.35,149.87,48.38,91.6,55.73,97.63,164.47
2019-01-16 05:00:00+00:00,154.94,241.95,87.0,33.64,19.73,1683.78,251.7,148.54,43.96,1089.51,121.62,48.13,209.99,90.96,138.75,147.54,105.38,33.58,189.59,148.84,48.06,90.55,55.27,97.17,165.34
2019-01-17 05:00:00+00:00,155.86,244.4,88.81,34.54,20.25,1693.22,255.33,149.82,44.21,1099.12,122.19,48.47,211.73,92.92,141.76,148.3,106.12,33.88,186.53,151.72,48.58,90.4,54.77,97.54,166.58
2019-01-18 05:00:00+00:00,156.82,247.51,91.36,35.71,20.77,1696.2,260.82,152.51,45.03,1107.3,123.82,49.19,213.87,95.73,147.55,150.04,107.71,35.76,190.09,156.93,49.27,91.12,55.27,99.42,172.08
2019-01-22 05:00:00+00:00,153.3,243.85,89.13,34.44,19.76,1632.17,258.29,148.95,44.78,1078.63,122.52,48.27,212.34,93.21,139.89,147.57,105.68,33.87,185.7,148.77,48.94,89.94,54.29,96.62,170.77
2019-01-23 05:00:00+00:00,153.92,245.14,88.86,34.31,19.8,1640.02,257.52,149.75,45.46,1084.41,132.89,47.94,212.24,91.85,139.33,144.3,106.71,34.24,183.96,149.29,49.24,90.5,51.77,95.49,171.66
2019-01-24 05:00:00+00:00,152.7,242.56,94.75,37.82,20.85,1654.93,263.55,146.87,45.61,1084.0,132.53,49.76,212.16,98.29,161.2,145.83,106.2,36.59,185.7,157.84,49.2,92.2,50.81,102.09,171.2
2019-01-25 05:00:00+00:00,157.76,244.95,97.67,39.19,21.93,1670.57,267.94,149.74,46.13,1101.51,133.97,47.04,214.3,101.39,165.49,149.01,107.17,38.96,191.08,160.15,49.8,94.28,51.3,104.41,175.58
2019-01-28 05:00:00+00:00,156.3,241.85,97.34,38.7,20.18,1637.89,267.62,147.33,45.75,1079.86,134.27,46.71,211.05,101.68,166.06,147.47,105.08,38.08,187.94,138.01,49.52,92.3,50.64,102.68,172.5
2019-01-29 05:00:00+00:00,154.68,238.27,97.01,38.2,19.25,1593.88,266.32,145.18,45.96,1070.06,134.33,46.54,208.33,100.99,164.99,144.19,102.94,37.39,184.82,131.6,49.61,91.12,49.4,101.35,166.69
2019-01-30 05:00:00+00:00,165.25,242.67,99.01,39.6,23.09,1670.43,270.82,149.16,46.71,1097.99,134.38,47.54,214.1,105.98,170.93,150.42,106.38,38.24,194.0,137.39,50.36,92.42,50.17,102.14,172.62
2019-01-31 05:00:00+00:00,166.44,247.82,98.86,39.08,24.41,1718.73,268.25,151.97,47.29,1125.89,134.42,47.12,215.82,106.57,169.58,166.69,104.43,38.22,220.02,143.75,50.23,88.76,49.52,100.68,181.53
2019-02-01 05:00:00+00:00,166.52,247.38,100.54,39.31,24.51,1626.23,266.81,155.87,47.34,1118.62,134.1,48.73,214.45,106.96,172.77,165.71,102.78,39.6,221.51,144.73,50.81,90.01,49.61,101.99,186.06
2019-02-04 05:00:00+00:00,171.25,254.74,99.7,38.9,24.13,1633.31,272.12,157.72,47.35,1141.42,135.19,49.22,220.91,107.03,173.16,169.25,105.74,39.47,225.14,149.18,51.03,91.66,49.69,101.8,186.78
